startingAirport,destinationAirport,isBasicEconomy,isNonStop,AirlineCode,transferAirport,departureTime,arrivalTime,totalFlightTime,elapsedDays,totalTravelDistance,fareBasisCode,baseFare,totalFare
ATL,BOS,FALSE,TRUE,DL,NONE,1650214620,1650223560,8940,0,947,LA0NX0MC,217.67,248.6
ATL,BOS,FALSE,TRUE,DL,NONE,1650191400,1650200400,9000,0,947,LA0NX0MC,217.67,248.6
ATL,BOS,FALSE,TRUE,DL,NONE,1650209700,1650218700,9000,0,947,LA0NX0MC,217.67,248.6
ATL,BOS,FALSE,TRUE,DL,NONE,1650218340,1650227460,9120,0,947,LA0NX0MC,217.67,248.6
ATL,BOS,FALSE,TRUE,DL,NONE,1650203940,1650213180,9240,0,947,LA0NX0MC,217.67,248.6
ATL,BOS,FALSE,TRUE,B6,NONE,1650206700,1650216180,9480,0,947,VH0AUEL1,217.67,248.6
ATL,BOS,FALSE,FALSE,AA||AA,CLT,1650198000,1650213120,12900,0,956,V0AJZNN1,213.02,251.1
ATL,BOS,FALSE,FALSE,AA||AA,CLT,1650198000,1650217080,13680,0,956,V0AJZNN1,213.02,251.1
ATL,BOS,FALSE,FALSE,AA||AA,CLT,1650193200,1650213120,12360,0,956,V0AJZNN1,213.02,251.1
ATL,BOS,FALSE,FALSE,AA||AA,CLT,1650193200,1650217080,13140,0,956,V0AJZNN1,213.02,251.1
ATL,BOS,FALSE,FALSE,UA||UA,IAD,1650187800,1650204960,12420,0,947,VAA0AKEN,213.02,252.6
ATL,BOS,FALSE,FALSE,AA||AA,ORD,1650220740,1650241440,16440,0,1462,V0AJZNN1,213.02,252.6
ATL,BOS,FALSE,FALSE,AA||AA,ORD,1650232800,1650254340,16500,0,1462,V0AJZNN1,213.02,252.6
ATL,BOS,FALSE,FALSE,AA||AA,ORD,1650220740,1650247020,16020,0,1462,V0AJZNN1,213.02,252.6
ATL,BOS,FALSE,FALSE,UA||UA,ORD,1650190200,1650219600,16440,0,1462,VAA0AKEN,213.02,252.6
ATL,BOS,FALSE,TRUE,AA,NONE,1650206700,1650216180,9480,0,947,KH0AUEY5,265.58,300.1
ATL,BOS,FALSE,FALSE,AA||AA,CLT,1650233700,1650249120,12540,0,956,L0AJZNN1,260.47,302.11
ATL,BOS,FALSE,FALSE,AA||AA,CLT,1650207720,1650224280,13020,0,956,L0AJZNN1,260.47,302.11
ATL,BOS,FALSE,FALSE,AA||AA,CLT,1650226680,1650243780,11940,0,956,L0AJZNN1,260.47,302.11
ATL,BOS,FALSE,FALSE,AA||AA,CLT,1650207720,1650229440,12900,0,956,L0AJZNN1,260.47,302.11
ATL,BOS,FALSE,FALSE,AA||AA,CLT,1650226680,1650249120,11700,0,956,L0AJZNN1,260.47,302.11
ATL,BOS,TRUE,FALSE,UA||UA,EWR,1650244980,1650280140,12480,1,947,WAA0AHBN,258.6,307.2
ATL,BOS,TRUE,FALSE,UA||UA,EWR,1650244980,1650284640,12480,1,947,WAA0AHBN,258.6,307.2
ATL,BOS,TRUE,FALSE,UA||UA,EWR,1650239520,1650280140,13020,1,947,WAA0AHBN,258.6,307.2
ATL,BOS,FALSE,FALSE,UA||UA,ORD,1650207780,1650230400,15600,0,1462,QAA0OKEN,274.42,318.6
ATL,BOS,FALSE,FALSE,UA||UA,ORD,1650232380,1650255480,15180,1,1462,QAA0OKEN,274.42,318.6
ATL,BOS,FALSE,TRUE,DL,NONE,1650245100,1650254220,9120,0,947,QA0OX0MC,292.09,328.6
ATL,BOS,FALSE,TRUE,B6,NONE,1650233220,1650243060,9840,0,947,QH0KUEL1,316.73,355.09
ATL,BOS,FALSE,TRUE,DL,NONE,1650222600,1650231780,9180,0,947,HA0QA0MQ,357.21,398.6
ATL,BOS,FALSE,TRUE,DL,NONE,1650234540,1650243840,9300,0,947,HA0QA0MQ,357.21,398.6
ATL,BOS,FALSE,TRUE,DL,NONE,1650226200,1650235680,9480,0,947,HA0QA0MQ,357.21,398.6
ATL,BOS,FALSE,FALSE,UA||UA,EWR,1650231840,1650248640,13680,0,947,QAA0JHES,356.28,406.6
ATL,BOS,FALSE,FALSE,UA||UA,EWR,1650209100,1650228600,12720,0,947,QAA0JHES,356.28,406.6
ATL,BOS,FALSE,TRUE,AA,NONE,1650233220,1650243060,9840,0,947,HH0KUEY5,367.98,410.18
ATL,BOS,FALSE,FALSE,UA||UA,IAD,1650216240,1650235800,12540,0,947,EAA0OKEN,453.95,511.6
ATL,CLT,FALSE,FALSE,AA||AA,ORD,1650220740,1650243840,15420,0,1192,V0AHZNN1,338.6,387.6
ATL,CLT,FALSE,FALSE,UA||UA,IAD,1650187800,1650203580,12060,0,868,VAA0JKEN,339.53,388.6
ATL,CLT,FALSE,TRUE,AA,NONE,1650226680,1650230760,4080,0,228,M0AHZNN1,357.21,398.6
ATL,CLT,FALSE,TRUE,DL,NONE,1650230880,1650235080,4200,0,228,MA0QA0MQ,357.21,398.6
ATL,CLT,FALSE,TRUE,DL,NONE,1650251400,1650255660,4260,1,228,MA0QA0MQ,357.21,398.6
ATL,CLT,FALSE,TRUE,DL,NONE,1650212460,1650216720,4260,0,228,MA0QA0MQ,357.21,398.6
ATL,CLT,FALSE,TRUE,DL,NONE,1650207600,1650211980,4380,0,228,MA0QA0MQ,357.21,398.6
ATL,CLT,FALSE,TRUE,DL,NONE,1650194400,1650198840,4440,0,228,MA0QA0MQ,357.21,398.6
ATL,CLT,FALSE,TRUE,DL,NONE,1650237600,1650242040,4440,0,228,MA0QA0MQ,357.21,398.6
ATL,CLT,FALSE,TRUE,DL,NONE,1650222900,1650227520,4620,0,228,MA0QA0MQ,357.21,398.6
ATL,CLT,FALSE,TRUE,AA,NONE,1650193200,1650198060,4860,0,228,M0AHZNN1,357.21,398.6
ATL,CLT,FALSE,TRUE,AA,NONE,1650233700,1650238620,4920,0,228,M0AHZNN1,357.21,398.6
