startingAirport,destinationAirport,isBasicEconomy,isNonStop,AirlineCode,transferAirport,departureTime,arrivalTime,totalFlightTime,elapsedDays,totalTravelDistance,fareBasisCode,baseFare,totalFare
8,12,False,False,30,232,1650235020,1650265020,26940,0,2558,193,506.98,568.6
15,10,False,False,56,103,1650265140,1650299520,25980,1,3060,354,318.14,365.6
13,4,False,True,46,164,1650227940,1650237960,10020,0,799,345,213.95,244.6
1,4,False,True,4,164,1650226080,1650242160,16080,0,1556,119,403.72,448.6
15,9,False,True,46,164,1650227700,1650233460,5760,0,339,383,139.53,164.6
15,14,False,False,56,63,1650225300,1650252480,22620,0,2521,346,315.35,362.6
2,11,False,False,7,113,1650226200,1650241200,9720,0,664,51,174.88,210.1
1,14,False,True,23,164,1650241200,1650247140,5940,0,280,122,185.12,213.6
10,9,False,False,56,94,1650237000,1650270000,25800,1,2516,327,474.42,533.6
13,2,False,False,7,138,1650234600,1650252780,14640,0,1265,54,174.88,211.6
11,4,False,False,39,145,1650190200,1650209940,15840,0,1174,389,530.61,594.01
1,10,False,True,4,164,1650225600,1650230640,5040,0,185,395,254.22,287.89
3,5,False,False,7,43,1650226500,1650247260,17760,0,1851,152,262.33,304.11
2,10,False,False,7,34,1650202620,1650225600,10920,0,551,51,174.88,210.1
5,12,False,False,30,119,1650190140,1650217740,23100,0,2323,121,320.0,367.6
9,0,False,False,56,103,1650200400,1650233280,19140,0,2074,244,310.7,357.6
14,11,False,False,30,72,1650189600,1650210120,17160,0,1600,81,309.77,356.6
14,4,False,False,30,72,1650213900,1650235860,17280,0,1442,80,347.91,397.6
4,5,False,False,30,4,1650239460,1650256440,13860,1,1329,86,366.51,417.6
0,9,False,False,30,155,1650194100,1650221400,23700,0,2442,193,760.93,841.6
10,9,False,False,50,94,1650207900,1650252180,26880,0,2516,327,658.6,737.2
1,5,False,True,23,164,1650214080,1650222000,7920,0,622,21,450.23,498.6
7,10,False,False,53,167,1650213180,1650240720,15540,0,1314,254,500.46,561.6
9,2,False,False,7,167,1650214800,1650243840,22140,0,2337,158,348.84,398.6
3,1,False,True,4,164,1650261120,1650274980,13860,1,1763,211,306.05,343.6
9,3,False,False,30,155,1650208800,1650234360,20760,0,2227,122,208.37,247.6
11,5,False,False,56,167,1650226920,1650253020,17700,0,1432,254,311.63,358.6
3,6,False,False,56,25,1650259200,1650285420,19380,1,1948,352,440.0,496.6
13,9,False,False,30,155,1650208500,1650240480,19320,0,1875,80,322.79,370.6
4,9,False,False,56,63,1650202200,1650221340,16260,0,1498,256,426.04,481.59
